PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;PT;P6016;P3271;P6040;P6030S1;P6030S3;P6050;P6083;P6083S1;P6081;P6081S1;P2057;P2059;P2061;P6080;P6080S1;P6080S1A1;P6070;P6071;P6071S1;P6090;P6100;P6110;P6120;P1906S1;P1906S2;P1906S3;P1906S4;P1906S5;P1906S6;P1906S7;P1906S8;P6160;P6170;P3041;P3042;P3042S1;P3042S2;P3043;P3043S1;P3038;P3039;POB_MAY18
20251044;10;2025;8374095;1;1;1;10;;2;36.09714248;08;1;1;2;34;9;1991;1;2;;2;;2;2;2;6;;;2;1;2;1;1;1;40000;4;4;4;4;4;4;4;4;1;2;;8;2;416;5;416;1;2;1
20251044;10;2025;8374095;1;2;1;10;;2;36.09714248;08;1;2;1;30;10;1995;2;3;;2;;1;;1;6;;;2;1;1;1;1;1;56940;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20251044;10;2025;8374095;1;3;1;10;;2;36.09714248;08;1;3;1;7;2;2018;3;1;1;2;;2;2;2;6;;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;3;2;;;;;;
20251044;10;2025;8374096;1;1;1;10;;2;20.425814514;08;1;1;2;34;2;1991;1;1;6;2;;2;2;2;6;;;2;1;2;1;1;1;56940;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20251044;10;2025;8374096;1;2;1;10;;2;20.425814514;08;1;2;1;32;8;1993;2;2;;2;;2;2;2;6;;;2;1;1;1;1;1;56940;4;4;4;4;4;4;4;4;1;2;;8;4;729;5;729;2;1;1
20251044;10;2025;8374096;1;3;1;10;;2;20.425814514;08;1;1;1;16;8;2009;3;1;1;2;;2;2;2;6;;;6;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;5;0;;1;;;;
20251044;10;2025;8374096;1;4;1;10;;2;20.425814514;08;1;1;2;13;5;2012;3;1;1;2;;2;2;2;6;;;6;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;4;1;;;;;;
20251044;10;2025;8374096;1;5;1;10;;2;20.425814514;08;1;1;2;2;9;2023;3;1;1;1;2;2;2;2;6;;;;;;1;1;5;;4;4;4;4;4;4;4;4;;;;;;;;;;;
20251044;10;2025;8374096;1;6;1;10;;2;20.425814514;08;1;6;2;63;8;1962;4;2;;2;;2;2;2;6;;;4;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20251044;10;2025;8374097;1;1;1;10;;2;32.408368672;08;1;1;1;26;10;1999;1;2;;2;;2;2;2;6;;;2;1;2;1;1;1;56940;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20251044;10;2025;8374097;1;2;1;10;;2;32.408368672;08;1;2;2;25;3;2000;2;2;;2;;2;2;2;6;;;2;1;1;1;1;5;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20251044;10;2025;8374097;1;3;1;10;;2;32.408368672;08;1;2;2;1;10;2023;3;1;2;1;1;2;2;2;6;;;;;;1;1;5;;4;4;4;4;4;4;4;4;;;;;;;;;;;
20251044;10;2025;8374098;1;1;1;10;;2;34.265640431;08;1;1;2;36;6;1989;1;3;;3;;2;2;2;5;;;2;1;2;1;1;1;80000;4;4;4;4;4;4;4;4;1;2;;10;10;411;7;411;1;2;1
20251044;10;2025;8374098;1;2;1;10;;2;34.265640431;08;1;2;1;42;11;1982;2;2;;3;;2;2;9;6;;;2;1;1;1;1;1;150000;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20251044;10;2025;8374098;1;3;1;10;;2;34.265640431;08;1;3;2;22;7;2003;3;2;;1;2;2;2;2;6;;;6;;;1;1;5;;4;4;2;4;4;4;4;4;1;1;2;8;4;411;5;411;1;2;1
20251044;10;2025;8374098;1;4;1;10;;2;34.265640431;08;1;4;2;10;6;2015;3;1;1;1;2;2;2;2;5;;;6;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;2;3;2;;;;;;
20251044;10;2025;8374099;1;1;1;10;;2;32.213823136;08;1;1;1;40;12;1984;1;2;;3;;1;;2;5;;;2;1;2;1;1;1;100000;4;4;4;3;4;4;4;4;1;2;;10;9;411;2;;2;1;1
20251044;10;2025;8374099;1;2;1;10;;2;32.213823136;08;1;2;2;43;6;1982;2;2;;2;;1;;2;5;;;2;1;1;1;1;5;;4;4;3;4;4;4;4;4;1;2;;8;4;916;5;916;1;2;1
20251044;10;2025;8374099;1;3;1;10;;2;32.213823136;08;1;2;2;13;9;2012;3;1;2;1;1;1;;2;5;;;6;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;4;1;;;;;;
20251044;10;2025;8374099;1;4;1;10;;2;32.213823136;08;1;2;2;12;8;2013;3;1;2;1;1;1;;2;5;;;6;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;4;0;;;;;;
20251044;10;2025;8374099;1;5;1;10;;2;32.213823136;08;1;2;1;8;7;2017;3;1;2;1;1;1;;2;5;;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;3;0;;;;;;
20251044;10;2025;8374100;1;1;1;10;;2;30.121238976;08;1;1;1;52;5;1973;1;2;;2;;2;2;2;6;;;3;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20251044;10;2025;8374100;1;2;1;10;;2;30.121238976;08;1;2;2;50;8;1975;2;2;;2;;2;2;2;6;;;3;1;1;1;3;;;4;4;4;3;4;4;4;4;1;2;;5;2;;2;;1;2;1
