PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;P3044S2;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6420S2;P6424S1;P6424S2;P6424S3;P6424S5;P6426;P6430;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P3363;P9440;P6500;P3364;P3364S1;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3047;P3048;P3049;P6765;P6765S1;P3051;P3052;P3053;P3365;P3365S1;P3054;P3054S1;P3055;P3055S1;P3056;P3057;P6760;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3061;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063;P3063S1;P3064;P3064S1;P3065;P3066;P3067;P3067S1;P3067S2;P6775;P3068;P6750;P3073;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P3071S3;P3072S2;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1881S1;P1882;P7240;P7240S1;OCI;INGLABO;RAMA2D_R4;RAMA4D_R4;OFICIO_C8
20251044;10;2025;8374095;1;1;1;60;;2;36.09714248;08;1;6512;1;2;2;4;2;1;1;7810;1;1;1;1;3;1;;1;1;1;1;6;1;2000000;2;;1;100000;1;2;;2;;2;;2;;2;;;1;160000;1;2;;;2;;;2;;;1;500000;2;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;42;;;42;;;10;7;;1;;1;1;1;15;1;1;1;6;3;1;;9;;2;;;;;;;;2;;;;1;1;1;1;1;2;1;2;2;2;;2;1;1;2;2;2;2;2;11;;30;10;TRABAJO INDEPENDIENTE;1;2000000;65;6512;3321
20251044;10;2025;8374095;1;2;1;60;;2;36.09714248;08;1;145;1;2;2;2;1;;1;;2;1;1;1;1;1;;1;1;1;1;1;2;1423500;2;;2;;;2;;2;;2;;2;;2;;;1;20000;2;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;7;8;;1;;1;1;1;0;1;1;1;0;24;4;;8;;2;;;;;;;;2;;;;1;2;1;1;2;2;1;2;2;2;;2;1;1;1;1;2;2;1;11;;60;5;;1;1423500;01;0145;6122
20251044;10;2025;8374096;1;1;1;60;;2;20.425814514;08;1;4771;1;2;2;12;1;;1;;1;2;1;1;108;1;;1;1;1;1;1;2;2023500;2;;2;;;2;;2;;2;;2;;2;;;1;200000;2;1;126000;2;2;;;2;;;1;600000;1;1;1361500;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;10;7;;1;;1;1;1;12;1;1;1;2;36;1;;1;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;;35;3;;1;2023500;47;4771;1420
20251044;10;2025;8374096;1;2;1;60;;2;20.425814514;08;1;4771;1;2;2;12;1;;1;;1;2;1;1;24;1;;1;1;1;1;1;2;1823500;2;;2;;;2;;2;;2;;2;;2;;;1;200000;2;1;126000;2;2;;;2;;;1;400000;1;1;1361500;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;10;7;;1;;1;1;1;5;1;1;1;0;24;1;;5;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;;30;3;;1;1823500;47;4771;5223
20251044;10;2025;8374097;1;1;1;60;;2;32.408368672;08;1;4923;1;2;1;;1;;1;;2;1;1;1;1;1;;1;1;1;1;3;1;1423500;2;;2;;;2;;2;;2;;2;;2;;;1;200000;2;2;;;2;;;2;;;2;;;2;;1;800000;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;72;;;72;;;8;7;;1;;1;2;1;6;1;1;1;1;2;1;;3;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;2;11;;30;5;;1;1423500;49;4923;4321
20251044;10;2025;8374097;1;2;1;60;;2;32.408368672;08;1;5619;2;;;;;;;;;;;;9;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;20000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;18000;1;180000;3;;3;2;11;21;2;;21;;;1;1;;3;;2;;;;2;2;1;1;2;1;;1;;2;;;;;;;;1;48;2;1;1;2;1;2;2;2;2;2;2;2;;2;1;1;1;1;2;1;1;14;;;3;;1;18000;56;5619;5223
20251044;10;2025;8374098;1;1;1;60;;2;34.265640431;08;1;7500;1;2;1;;1;;1;;1;1;1;1;72;1;;1;1;1;1;1;2;2000000;2;;2;;;2;;2;;2;;2;;2;;;1;200000;2;2;;;2;;;1;1000000;2;2;;;1;1000000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;44;;;44;;;6;7;;1;;1;1;1;15;1;1;1;24;36;1;;9;;1;2;5212;5619;6;;2;1;1;6;2;1;2;;;;;;;;;;;;;1;1;1;2;1;1;8;;45;3;;1;2000000;75;7500;4311
20251044;10;2025;8374098;1;2;1;60;;2;34.265640431;08;1;4321;1;2;1;;1;;1;;1;1;1;1;36;1;;1;1;1;1;2;2;1600000;2;;2;;;2;;2;;2;;2;;2;;;1;200000;2;1;52000;2;2;;;2;;;2;;;1;800000;1;800000;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;10;6;;1;;1;1;1;11;1;1;1;0;36;1;;1;;1;2;5212;4781;6;;2;1;2;;;;1;2;1;1;2;2;1;1;2;2;;2;1;1;1;1;2;2;1;11;;15;5;;1;1600000;43;4321;7422
20251044;10;2025;8374098;1;3;1;60;;2;34.265640431;08;1;5619;2;;;;;;;;;;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;0;0;2;3;1;1;1;7;;;;;;;;;;;1;100000;1;100000;50000;0;0;0;;;;;;;;;;;;;;;;;;2;;;2;;100000;1;100000;3;;4;2;8;14;2;;14;;;2;1;;3;;2;;;;2;1;1;4;7;1;;3;;2;;;;;;;;1;4;2;1;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;;3;;1;100000;56;5619;5212
20251044;10;2025;8374099;1;1;1;60;;2;32.213823136;08;1;5229;1;2;1;;1;;1;;1;2;1;1;132;1;;1;1;1;1;2;2;2500000;2;;2;;;2;;2;;2;;2;;2;;;1;200000;2;1;126000;2;2;;;2;;;2;;;1;2500000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;40;;;0;3;;9;7;;1;;1;1;1;15;1;1;1;1;36;1;;1;;1;14;5221;4711;6;;2;1;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;13;;10;1;;1;2500000;52;5229;3341
